comparison,metric,obs,ci_low,ci_high,p_value
maspp_cluster_dynamic minus qpp_exact,sharpe,0.04795728056838289,-0.06077745454377462,0.15089709003448637,0.345
maspp_cluster_dynamic minus qpp_exact,stress_sharpe,0.017198589233768602,-0.09169516638811614,0.1156735788477305,0.75
maspp_cluster_dynamic minus qpp_exact,max_drawdown,0.02188931437860575,0.005982805631777522,0.05238021283940913,0.057
maspp_cluster_dynamic minus qpp_exact,es_5,0.007397989618910632,0.003837937673439159,0.011201680792090975,0.0
maspp_cluster_dynamic minus full_mas_exact,sharpe,0.1570256629647555,-0.0316131918078064,0.3862743684150421,0.145
maspp_cluster_dynamic minus full_mas_exact,stress_sharpe,0.08156831399062103,-0.10062784787833297,0.3007799919425645,0.443
maspp_cluster_dynamic minus full_mas_exact,max_drawdown,-0.0022928932497605636,-0.03169198159761749,0.035344106996332496,0.865
maspp_cluster_dynamic minus full_mas_exact,es_5,-0.003931521834514794,-0.0073676122252313925,-0.000157631441707512,0.032
maspp_cluster_dynamic minus maspp_fixed_b06,sharpe,0.034458659455237184,-0.04465899167265441,0.08535463733772691,0.271
maspp_cluster_dynamic minus maspp_fixed_b06,stress_sharpe,0.02460382342820211,-0.051200026987274584,0.07576224277473764,0.43
maspp_cluster_dynamic minus maspp_fixed_b06,max_drawdown,0.00671266263662218,-0.005388964563386924,0.018416312224353613,0.142
maspp_cluster_dynamic minus maspp_fixed_b06,es_5,0.0008655901186836144,-0.00145484880910031,0.003271547368971199,0.468
maspp_cluster_dynamic minus maspp_global_dynamic,sharpe,0.04372653982599939,0.0017687606871456707,0.09020567135630991,0.052
maspp_cluster_dynamic minus maspp_global_dynamic,stress_sharpe,0.04759790490952842,0.0062316916045518315,0.09258606160472102,0.03
maspp_cluster_dynamic minus maspp_global_dynamic,max_drawdown,0.006884006951897281,0.0038834056094409516,0.024803453591685138,0.12
maspp_cluster_dynamic minus maspp_global_dynamic,es_5,0.0024918136173558425,0.0012256430986974508,0.00435283731865635,0.005
maspp_cluster_dynamic minus maspp_cluster_reliability,sharpe,0.013134688075462253,-0.003962049713360283,0.029461241126357136,0.121
maspp_cluster_dynamic minus maspp_cluster_reliability,stress_sharpe,0.010915998263739457,-0.0057711276864944065,0.02723843453646349,0.187
maspp_cluster_dynamic minus maspp_cluster_reliability,max_drawdown,-0.0012925357804426385,-0.003991829082501208,0.0037052560337997803,0.574
maspp_cluster_dynamic minus maspp_cluster_reliability,es_5,0.00035962072075048507,-0.0004292477042600306,0.001124924754449551,0.232
maspp_cluster_dynamic minus central_cluster_dynamic,sharpe,0.057065228144378644,-0.07492772641713356,0.19489664383446767,0.406
maspp_cluster_dynamic minus central_cluster_dynamic,stress_sharpe,0.05081326776687267,-0.07968169733375964,0.18164430696933273,0.45
maspp_cluster_dynamic minus central_cluster_dynamic,max_drawdown,0.0325204997470917,0.004122325726799947,0.0722633499587454,0.056
maspp_cluster_dynamic minus central_cluster_dynamic,es_5,0.006643909343053492,0.0030080465261230534,0.010277279902777084,0.0
maspp_cluster_dynamic minus inversevol_cluster_dynamic,sharpe,0.010936389598954488,-0.05233501336337359,0.07521842629419252,0.721
maspp_cluster_dynamic minus inversevol_cluster_dynamic,stress_sharpe,0.01686033153592381,-0.04497545812725443,0.08093113198114874,0.594
maspp_cluster_dynamic minus inversevol_cluster_dynamic,max_drawdown,-0.012061219480420271,-0.025240083363988634,0.002346876763910143,0.093
maspp_cluster_dynamic minus inversevol_cluster_dynamic,es_5,-0.002834829587671759,-0.004150254436555181,-0.0012997750239778045,0.0
